collection_id,loan_id,collector_id,action_date,action_type,outcome,promised_amount,next_action_date,escalation_level,source_system,record_created_at
COL0001101,LOAN0017664,AGENT018,2021-10-01,Outbound Call,No Contact,42304.23,2020-02-21,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.254680
COL0001102,LOAN0011163,AGENT008,2019-11-28,Email,Promise to Pay,43283.76,2023-07-21,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.254713
COL0001103,LOAN0012944,AGENT025,2022-11-20,Outbound Call,Deceased,49498.22,2020-03-16,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.254746
COL0001104,LOAN0011322,AGENT025,2021-02-20,Letter,No Contact,30746.61,2024-07-15,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.254778
COL0001105,LOAN0008124,AGENT025,2022-08-11,Letter,Deceased,8533.11,2022-02-11,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.254810
COL0001106,LOAN0008550,AGENT006,2023-04-19,Email,Deceased,31133.96,2022-08-14,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.254843
COL0001107,LOAN0008194,AGENT020,2019-10-07,SMS,Paid in Full,47819.47,2021-02-15,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.254876
COL0001108,LOAN0015080,AGENT023,2022-11-17,Outbound Call,Paid in Full,18797.46,2024-07-29,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.254908
COL0001109,LOAN0006672,AGENT011,2019-06-04,Email,No Contact,35577.76,2024-10-12,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.254959
COL0001110,LOAN0017873,AGENT027,2019-11-16,Promise to Pay Follow-Up,Promise to Pay,23077.69,2021-05-30,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.254992
COL0001111,LOAN0013223,AGENT028,2024-11-12,Email,No Contact,29351.3,2019-09-15,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255024
COL0001112,LOAN0002267,AGENT007,2024-12-08,Email,Partial Payment,27436.46,2022-09-27,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255060
COL0001113,LOAN0007592,AGENT007,2021-01-23,SMS,Promise to Pay,21733.97,2020-10-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255110
COL0001114,LOAN0005273,AGENT019,2019-11-02,SMS,Partial Payment,49555.32,2025-01-03,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255144
COL0001115,LOAN0013227,AGENT015,2023-05-29,Legal Notice,Partial Payment,22276.27,2020-11-16,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.255177
COL0001116,LOAN0008672,AGENT024,2020-05-19,Outbound Call,Partial Payment,34380.6,2021-12-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255210
COL0001117,LOAN0012654,AGENT001,2020-05-29,SMS,Paid in Full,21167.06,2019-08-09,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.255249
COL0001118,LOAN0015019,AGENT003,2020-01-26,SMS,Promise to Pay,35767.83,2024-04-07,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255303
COL0001119,LOAN0008419,AGENT002,2022-10-15,Outbound Call,Promise to Pay,25736.41,2021-12-30,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255339
COL0001120,LOAN0008194,AGENT016,2024-07-12,Field Visit,No Contact,49629.29,2021-08-06,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255371
COL0001121,LOAN0016470,AGENT020,2020-06-03,Restructure Offer,Promise to Pay,38888.86,2022-02-25,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255404
COL0001122,LOAN0000171,AGENT021,2019-10-06,Field Visit,Partial Payment,2676.7,2022-12-28,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.255463
COL0001123,LOAN0010243,AGENT028,2022-07-24,SMS,Agreed Arrangement,7109.68,2022-05-20,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255517
COL0001124,LOAN0017377,AGENT010,2024-03-12,Letter,Dispute Raised,3167.94,2021-12-11,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255550
COL0001125,LOAN0016380,AGENT022,2020-07-03,SMS,Deceased,43610.38,2024-02-06,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255592
COL0001126,LOAN0007821,AGENT009,2021-03-13,Email,Promise to Pay,8621.97,2024-10-20,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.255626
COL0001127,LOAN0009945,AGENT013,2019-11-28,Field Visit,No Contact,13868.57,2019-08-13,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255658
COL0001128,LOAN0014448,AGENT018,2024-07-16,Outbound Call,Promise to Pay,31380.78,2024-08-01,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255691
COL0001129,LOAN0004525,AGENT027,2020-10-28,Email,Promise to Pay,46131.38,2020-10-28,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255724
COL0001130,LOAN0012961,AGENT022,2022-12-21,Outbound Call,Agreed Arrangement,1000.42,2022-08-26,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255756
COL0001131,LOAN0012497,AGENT003,2020-04-11,Outbound Call,Agreed Arrangement,17381.21,2022-04-12,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.255789
COL0001132,LOAN0002190,AGENT016,2023-11-19,Outbound Call,No Contact,33468.24,2021-08-19,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.255821
COL0001133,LOAN0007702,AGENT006,2023-03-02,Letter,No Contact,5105.69,2022-04-15,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255854
COL0001134,LOAN0000392,AGENT005,2021-03-27,Outbound Call,Dispute Raised,39763.09,2024-10-02,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255886
COL0001135,LOAN0016001,AGENT020,2021-02-04,Letter,Partial Payment,696.59,2021-09-12,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.255919
COL0001136,LOAN0005917,AGENT027,2020-06-07,Outbound Call,Partial Payment,37156.87,2019-02-12,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255952
COL0001137,LOAN0014850,AGENT020,2022-07-05,Outbound Call,Relocated,33583.31,2020-04-29,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.255984
COL0001138,LOAN0004187,AGENT014,2024-03-06,SMS,No Contact,41634.83,2021-04-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256034
COL0001139,LOAN0003679,AGENT018,2022-08-26,Outbound Call,Promise to Pay,27872.46,2024-12-03,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256068
COL0001140,LOAN0009830,AGENT002,2019-04-27,Letter,Promise to Pay,29686.69,2024-08-27,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256101
COL0001141,LOAN0011892,AGENT028,2021-05-02,Letter,Promise to Pay,49812.37,2019-09-04,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.256137
COL0001142,LOAN0003432,AGENT012,2023-01-06,SMS,Promise to Pay,38676.82,2022-06-28,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256188
COL0001143,LOAN0009616,AGENT009,2023-10-17,Outbound Call,Partial Payment,23185.63,2024-07-16,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.256221
COL0001144,LOAN0009359,AGENT016,2023-09-25,Email,Promise to Pay,26044.78,2022-12-10,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.256256
COL0001145,LOAN0000721,AGENT008,2023-06-12,Outbound Call,Partial Payment,39083.63,2023-02-08,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256289
COL0001146,LOAN0000449,AGENT007,2022-11-08,Outbound Call,No Contact,31130.4,2022-05-09,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256328
COL0001147,LOAN0013123,AGENT020,2024-03-05,Field Visit,Promise to Pay,42165.01,2020-08-21,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256383
COL0001148,LOAN0002468,AGENT024,2024-12-22,Outbound Call,Partial Payment,33745.78,2019-10-28,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256429
COL0001149,LOAN0017337,AGENT019,2019-06-02,Outbound Call,Promise to Pay,47111.79,2020-11-06,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256466
COL0001150,LOAN0006902,AGENT021,2023-10-05,Legal Notice,Partial Payment,15508.99,2023-10-05,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.256500
COL0001151,LOAN0005263,AGENT019,2024-10-28,Outbound Call,Promise to Pay,42214.39,2020-10-26,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256551
COL0001152,LOAN0009762,AGENT020,2023-08-11,Outbound Call,Paid in Full,41083.16,2019-07-31,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.256608
COL0001153,LOAN0016724,AGENT019,2020-07-28,Email,No Contact,45799.22,2020-08-11,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256642
COL0001154,LOAN0016214,AGENT021,2023-12-23,SMS,Partial Payment,35906.87,2020-03-25,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256675
COL0001155,LOAN0017057,AGENT026,2022-04-27,Outbound Call,Promise to Pay,2994.56,2022-01-22,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.256707
COL0001156,LOAN0008963,AGENT009,2022-09-21,Email,Promise to Pay,36721.01,2023-12-19,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256740
COL0001157,LOAN0009543,AGENT029,2021-05-13,Restructure Offer,No Contact,11817.61,2021-01-26,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256772
COL0001158,LOAN0014726,AGENT017,2021-11-13,Email,Promise to Pay,49056.24,2019-12-24,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256806
COL0001159,LOAN0016808,AGENT010,2023-10-18,Outbound Call,Partial Payment,7820.69,2023-03-17,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.256838
COL0001160,LOAN0005334,AGENT024,2022-03-02,Outbound Call,Agreed Arrangement,21622.22,2021-08-15,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.256871
COL0001161,LOAN0005912,AGENT015,2024-07-04,Promise to Pay Follow-Up,No Contact,15330.42,2019-06-16,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.256904
COL0001162,LOAN0007133,AGENT006,2019-11-29,Email,Partial Payment,9440.44,2021-01-18,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.256940
COL0001163,LOAN0009945,AGENT001,2023-11-05,Legal Notice,Partial Payment,36812.86,2024-10-03,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.256973
COL0001164,LOAN0013274,AGENT028,2021-01-08,SMS,Partial Payment,42514.86,2021-09-11,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.257005
COL0001165,LOAN0010051,AGENT013,2019-06-18,Restructure Offer,Partial Payment,28573.31,2021-12-03,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.257037
COL0001166,LOAN0000438,AGENT022,2024-01-01,Outbound Call,Relocated,4983.07,2022-12-18,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257069
COL0001167,LOAN0012035,AGENT003,2024-10-31,Promise to Pay Follow-Up,Deceased,8840.08,2024-08-15,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.257119
COL0001168,LOAN0013424,AGENT009,2020-07-13,SMS,Paid in Full,47039.53,2019-03-22,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.257153
COL0001169,LOAN0016802,AGENT009,2019-08-04,SMS,Promise to Pay,47704.22,2023-02-14,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.257186
COL0001170,LOAN0000773,AGENT017,2024-05-15,Outbound Call,No Contact,3468.44,2023-04-16,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.257227
COL0001171,LOAN0013681,AGENT024,2022-07-01,Outbound Call,No Contact,42107.48,2019-02-27,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.257274
COL0001172,LOAN0012299,AGENT029,2023-08-24,Outbound Call,Deceased,1526.47,2023-03-31,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257307
COL0001173,LOAN0014492,AGENT020,2020-12-24,SMS,Partial Payment,46780.5,2020-06-04,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.257342
COL0001174,LOAN0008373,AGENT011,2019-09-01,Outbound Call,Relocated,17250.56,2021-06-30,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.257374
COL0001175,LOAN0006269,AGENT008,2023-05-14,Email,No Contact,39193.31,2024-08-24,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257424
COL0001176,LOAN0008772,AGENT021,2020-07-08,SMS,No Contact,45827.13,2023-01-22,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.257481
COL0001177,LOAN0011281,AGENT021,2022-03-11,Restructure Offer,No Contact,38394.28,2021-02-04,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257517
COL0001178,LOAN0017232,AGENT027,2021-09-11,Email,Partial Payment,41275.94,2023-05-21,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257551
COL0001179,LOAN0000223,AGENT002,2019-01-19,Restructure Offer,Promise to Pay,5734.49,2022-10-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257599
COL0001180,LOAN0000086,AGENT014,2019-08-18,SMS,Promise to Pay,15408.76,2019-02-25,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.257658
COL0001181,LOAN0015633,AGENT028,2020-02-22,Outbound Call,Dispute Raised,11563.96,2020-01-15,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.257699
COL0001182,LOAN0016721,AGENT011,2022-03-01,SMS,Paid in Full,2529.65,2022-03-13,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257755
COL0001183,LOAN0003218,AGENT004,2020-03-05,Outbound Call,Partial Payment,38997.81,2021-04-01,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257798
COL0001184,LOAN0017672,AGENT002,2020-09-30,Email,Promise to Pay,32257.74,2020-07-22,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257831
COL0001185,LOAN0017537,AGENT023,2021-08-24,Legal Notice,Partial Payment,38820.83,2023-08-07,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257863
COL0001186,LOAN0000846,AGENT029,2024-04-30,Letter,Dispute Raised,2675.65,2019-09-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257896
COL0001187,LOAN0016845,AGENT023,2024-07-31,Field Visit,No Contact,46025.59,2024-07-07,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257928
COL0001188,LOAN0011840,AGENT007,2020-12-11,Email,Promise to Pay,18634.56,2022-10-12,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.257961
COL0001189,LOAN0015994,AGENT012,2024-03-14,Outbound Call,No Contact,4391.84,2019-06-10,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.257993
COL0001190,LOAN0016646,AGENT005,2019-10-25,Email,Promise to Pay,26493.48,2020-12-03,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.258026
COL0001191,LOAN0000192,AGENT006,2022-11-14,Letter,Promise to Pay,23980.89,2022-06-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258059
COL0001192,LOAN0016672,AGENT003,2020-02-12,Outbound Call,Dispute Raised,42462.39,2024-03-13,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.258103
COL0001193,LOAN0000121,AGENT022,2024-10-31,Outbound Call,Promise to Pay,16105.01,2022-02-28,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258152
COL0001194,LOAN0002608,AGENT020,2020-09-30,Restructure Offer,Promise to Pay,2390.32,2019-12-04,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258209
COL0001195,LOAN0006451,AGENT011,2023-04-13,SMS,Relocated,21026.71,2023-03-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258243
COL0001196,LOAN0004150,AGENT030,2024-07-07,Outbound Call,Promise to Pay,18384.05,2019-01-20,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.258276
COL0001197,LOAN0013739,AGENT017,2023-12-27,Outbound Call,Dispute Raised,15473.99,2024-11-04,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.258328
COL0001198,LOAN0002622,AGENT029,2024-10-30,Letter,Promise to Pay,35219.13,2019-12-13,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.258369
COL0001199,LOAN0000254,AGENT011,2020-11-01,Email,No Contact,18757.91,2021-12-28,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258402
COL0001200,LOAN0014726,AGENT008,2022-06-18,Outbound Call,Partial Payment,13407.8,2019-02-02,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.258449
COL0001201,LOAN0001065,AGENT001,2023-07-14,Field Visit,Relocated,29136.07,2019-04-22,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.258486
COL0001202,LOAN0001011,AGENT004,2021-02-09,Outbound Call,Dispute Raised,13038.77,2022-08-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258542
COL0001203,LOAN0006720,AGENT016,2024-05-23,Email,No Contact,13791.14,2020-06-30,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.258594
COL0001204,LOAN0008852,AGENT003,2021-08-02,Restructure Offer,Promise to Pay,9805.25,2021-10-16,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258628
COL0001205,LOAN0009338,AGENT001,2020-05-08,Restructure Offer,No Contact,16804.86,2024-07-04,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.258661
COL0001206,LOAN0007648,AGENT025,2024-10-16,Letter,Paid in Full,26234.37,2019-12-16,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.258716
COL0001207,LOAN0011699,AGENT028,2024-01-09,Promise to Pay Follow-Up,Paid in Full,22084.58,2019-02-02,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258767
COL0001208,LOAN0011850,AGENT019,2019-11-03,Outbound Call,No Contact,16919.96,2022-05-23,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.258800
COL0001209,LOAN0007029,AGENT009,2019-07-20,Field Visit,No Contact,31873.21,2022-02-09,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258833
COL0001210,LOAN0006302,AGENT017,2021-12-11,SMS,Dispute Raised,5585.11,2024-12-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258866
COL0001211,LOAN0002109,AGENT018,2020-10-08,Outbound Call,No Contact,3385.38,2024-02-07,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258899
COL0001212,LOAN0017539,AGENT011,2020-01-22,Restructure Offer,Partial Payment,44362.53,2023-03-22,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.258933
COL0001213,LOAN0011789,AGENT015,2022-06-08,Field Visit,Promise to Pay,13692.95,2023-12-09,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258965
COL0001214,LOAN0005481,AGENT027,2024-04-20,Outbound Call,No Contact,25643.06,2023-06-18,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.258998
COL0001215,LOAN0005082,AGENT003,2021-11-10,SMS,Relocated,2945.6,2021-11-11,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.259031
COL0001216,LOAN0010777,AGENT027,2022-12-17,Field Visit,Promise to Pay,11279.03,2020-05-31,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.259063
COL0001217,LOAN0010107,AGENT002,2023-06-29,Field Visit,No Contact,17682.17,2022-02-03,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.259110
COL0001218,LOAN0001479,AGENT002,2024-07-08,Outbound Call,Promise to Pay,33549.14,2021-08-04,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259143
COL0001219,LOAN0004691,AGENT004,2019-11-15,Outbound Call,No Contact,4676.1,2021-11-09,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.259188
COL0001220,LOAN0002447,AGENT014,2019-12-08,Legal Notice,Dispute Raised,32053.68,2019-11-04,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259239
COL0001221,LOAN0013007,AGENT020,2019-11-20,Outbound Call,Promise to Pay,44387.03,2025-01-01,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259289
COL0001222,LOAN0007272,AGENT021,2020-04-07,SMS,Promise to Pay,30868.17,2021-05-16,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259341
COL0001223,LOAN0009477,AGENT026,2022-09-29,Email,Partial Payment,26193.45,2023-02-11,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259387
COL0001224,LOAN0000385,AGENT010,2023-05-06,Email,Paid in Full,44487.47,2024-01-12,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259459
COL0001225,LOAN0015119,AGENT023,2024-03-23,Letter,No Contact,22632.39,2023-03-13,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.259515
COL0001226,LOAN0010062,AGENT005,2019-01-18,SMS,Paid in Full,13107.84,2020-05-18,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259577
COL0001227,LOAN0006978,AGENT016,2022-02-23,Email,Agreed Arrangement,29029.35,2021-03-24,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259636
COL0001228,LOAN0013060,AGENT024,2023-05-16,Restructure Offer,Promise to Pay,29087.07,2019-10-08,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259694
COL0001229,LOAN0002522,AGENT027,2022-02-11,SMS,Relocated,1224.83,2020-08-28,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259738
COL0001230,LOAN0013629,AGENT026,2021-06-23,Email,Partial Payment,25530.76,2021-10-25,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.259793
COL0001231,LOAN0000447,AGENT003,2019-03-13,Outbound Call,No Contact,27526.35,2024-01-09,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.259845
COL0001232,LOAN0014021,AGENT004,2020-04-04,Outbound Call,Promise to Pay,1742.62,2023-05-25,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.259878
COL0001233,LOAN0012096,AGENT022,2020-08-07,Outbound Call,Promise to Pay,26983.9,2024-02-24,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.259910
COL0001234,LOAN0000907,AGENT016,2022-09-28,Promise to Pay Follow-Up,Paid in Full,46630.97,2022-01-29,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.259943
COL0001235,LOAN0011827,AGENT017,2019-02-09,Email,Dispute Raised,33230.5,2023-08-07,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.259976
COL0001236,LOAN0016938,AGENT008,2019-01-30,SMS,No Contact,17509.42,2023-09-02,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260008
COL0001237,LOAN0008747,AGENT015,2023-05-27,Email,Promise to Pay,46750.61,2019-07-20,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.260041
COL0001238,LOAN0017356,AGENT014,2024-10-10,Email,No Contact,43237.61,2023-02-25,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.260088
COL0001239,LOAN0003758,AGENT030,2019-05-13,Legal Notice,No Contact,42284.06,2020-09-22,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260121
COL0001240,LOAN0016456,AGENT013,2024-11-02,Outbound Call,Relocated,20469.22,2020-12-25,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.260154
COL0001241,LOAN0016286,AGENT008,2024-03-16,Letter,Paid in Full,21283.28,2022-04-15,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.260187
COL0001242,LOAN0016721,AGENT010,2022-02-06,Letter,No Contact,15639.74,2022-10-04,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.260219
COL0001243,LOAN0014865,AGENT025,2024-12-18,Email,Paid in Full,28967.78,2024-08-29,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260251
COL0001244,LOAN0013370,AGENT004,2020-07-12,Field Visit,Partial Payment,12893.75,2022-10-20,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.260290
COL0001245,LOAN0005356,AGENT002,2019-09-25,Promise to Pay Follow-Up,Partial Payment,42523.23,2021-08-07,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260325
COL0001246,LOAN0005966,AGENT013,2022-05-12,Email,Promise to Pay,10589.46,2023-03-31,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.260359
COL0001247,LOAN0010516,AGENT009,2021-08-12,SMS,No Contact,15229.2,2022-01-29,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260392
COL0001248,LOAN0014894,AGENT020,2021-10-18,Email,No Contact,26425.25,2022-02-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260451
COL0001249,LOAN0015637,AGENT009,2019-09-26,Field Visit,Promise to Pay,39004.65,2024-11-27,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260488
COL0001250,LOAN0007426,AGENT006,2021-08-13,Promise to Pay Follow-Up,No Contact,43814.75,2020-10-01,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260521
COL0001251,LOAN0002526,AGENT029,2022-12-27,Letter,No Contact,23436.99,2019-12-26,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.260553
COL0001252,LOAN0008567,AGENT016,2021-05-17,Outbound Call,Partial Payment,27154.68,2022-02-07,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260596
COL0001253,LOAN0007829,AGENT029,2019-05-01,Outbound Call,Promise to Pay,47745.29,2022-10-02,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260629
COL0001254,LOAN0003169,AGENT007,2021-05-08,Outbound Call,Partial Payment,49802.7,2022-04-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260662
COL0001255,LOAN0013125,AGENT028,2021-01-18,Outbound Call,Promise to Pay,20652.7,2020-08-21,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.260695
COL0001256,LOAN0016265,AGENT022,2022-11-16,Outbound Call,Relocated,12757.02,2021-08-30,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260736
COL0001257,LOAN0008235,AGENT027,2020-11-02,Outbound Call,Paid in Full,48416.45,2024-12-28,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260781
COL0001258,LOAN0009914,AGENT001,2020-07-27,SMS,Partial Payment,21740.21,2019-08-01,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.260814
COL0001259,LOAN0003700,AGENT009,2023-07-14,Restructure Offer,Paid in Full,1579.39,2019-11-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260866
COL0001260,LOAN0012328,AGENT017,2020-02-27,Outbound Call,Partial Payment,8931.02,2023-06-01,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.260901
COL0001261,LOAN0016910,AGENT021,2021-02-07,Outbound Call,Dispute Raised,22297.2,2020-10-06,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.260933
COL0001262,LOAN0012340,AGENT008,2023-05-31,SMS,Deceased,27397.43,2022-09-26,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.260966
COL0001263,LOAN0017278,AGENT021,2021-03-30,Outbound Call,No Contact,38868.89,2022-02-13,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.260998
